ticker,nome,tipo,bench,settore,sost
STT,State Street Corporation,stock,^GSPC,Financials,False
STLD,Steel Dynamics,stock,^GSPC,Materials,False
STE,Steris,stock,^GSPC,Health Care,False
SYK,Stryker Corporation,stock,^GSPC,Health Care,False
SMCI,Supermicro,stock,^GSPC,Information Technology,False
SYF,Synchrony Financial,stock,^GSPC,Financials,False
SNPS,Synopsys,stock,^GSPC,Information Technology,False
SYY,Sysco,stock,^GSPC,Consumer Staples,False
TMUS,T-Mobile US,stock,^GSPC,Communication Services,False
TROW,T. Rowe Price,stock,^GSPC,Financials,False
TTWO,Take-Two Interactive,stock,^GSPC,Communication Services,False
TPR,"Tapestry, Inc.",stock,^GSPC,Consumer Discretionary,False
TRGP,Targa Resources,stock,^GSPC,Energy,False
TGT,Target Corporation,stock,^GSPC,Consumer Staples,False
TEL,TE Connectivity,stock,^GSPC,Information Technology,False
TDY,Teledyne Technologies,stock,^GSPC,Information Technology,False
TER,Teradyne,stock,^GSPC,Information Technology,False
TSLA,"Tesla, Inc.",stock,^GSPC,Consumer Discretionary,False
TXN,Texas Instruments,stock,^GSPC,Information Technology,False
TPL,Texas Pacific Land Corporation,stock,^GSPC,Energy,False
TXT,Textron,stock,^GSPC,Industrials,False
TMO,Thermo Fisher Scientific,stock,^GSPC,Health Care,False
TJX,TJX Companies,stock,^GSPC,Consumer Discretionary,False
TKO,TKO Group Holdings,stock,^GSPC,Communication Services,False
TTD,Trade Desk (The),stock,^GSPC,Communication Services,False
TSCO,Tractor Supply,stock,^GSPC,Consumer Discretionary,False
TT,Trane Technologies,stock,^GSPC,Industrials,False
TDG,TransDigm Group,stock,^GSPC,Industrials,False
TRV,Travelers Companies (The),stock,^GSPC,Financials,False
TRMB,Trimble Inc.,stock,^GSPC,Information Technology,False
TFC,Truist Financial,stock,^GSPC,Financials,False
TYL,Tyler Technologies,stock,^GSPC,Information Technology,False
TSN,Tyson Foods,stock,^GSPC,Consumer Staples,False
USB,U.S. Bancorp,stock,^GSPC,Financials,False
UBER,Uber,stock,^GSPC,Industrials,False
UDR,"UDR, Inc.",stock,^GSPC,Real Estate,False
ULTA,Ulta Beauty,stock,^GSPC,Consumer Discretionary,False
UNP,Union Pacific Corporation,stock,^GSPC,Industrials,False
UAL,United Airlines Holdings,stock,^GSPC,Industrials,False
UPS,United Parcel Service,stock,^GSPC,Industrials,False
URI,United Rentals,stock,^GSPC,Industrials,False
UNH,UnitedHealth Group,stock,^GSPC,Health Care,False
UHS,Universal Health Services,stock,^GSPC,Health Care,False
VLO,Valero Energy,stock,^GSPC,Energy,False
VEEV,Veeva Systems,stock,^GSPC,Health Care,False
VTR,Ventas,stock,^GSPC,Real Estate,False
VLTO,Veralto,stock,^GSPC,Industrials,False
VRSN,Verisign,stock,^GSPC,Information Technology,False
VRSK,Verisk Analytics,stock,^GSPC,Industrials,False
VZ,Verizon,stock,^GSPC,Communication Services,False
VRTX,Vertex Pharmaceuticals,stock,^GSPC,Health Care,False
VRT,Vertiv,stock,^GSPC,Industrials,False
VTRS,Viatris,stock,^GSPC,Health Care,False
VICI,Vici Properties,stock,^GSPC,Real Estate,False
V,Visa Inc.,stock,^GSPC,Financials,False
VST,Vistra Corp.,stock,^GSPC,Utilities,False
VMC,Vulcan Materials Company,stock,^GSPC,Materials,False
WRB,W. R. Berkley Corporation,stock,^GSPC,Financials,False
GWW,W. W. Grainger,stock,^GSPC,Industrials,False
WAB,Wabtec,stock,^GSPC,Industrials,False
WMT,Walmart,stock,^GSPC,Consumer Staples,False
DIS,Walt Disney Company (The),stock,^GSPC,Communication Services,False
WBD,Warner Bros. Discovery,stock,^GSPC,Communication Services,False
WM,Waste Management,stock,^GSPC,Industrials,False
WAT,Waters Corporation,stock,^GSPC,Health Care,False
WEC,WEC Energy Group,stock,^GSPC,Utilities,False
WFC,Wells Fargo,stock,^GSPC,Financials,False
WELL,Welltower,stock,^GSPC,Real Estate,False
WST,West Pharmaceutical Services,stock,^GSPC,Health Care,False
WDC,Western Digital,stock,^GSPC,Information Technology,False
WY,Weyerhaeuser,stock,^GSPC,Real Estate,False
WSM,"Williams-Sonoma, Inc.",stock,^GSPC,Consumer Discretionary,False
WMB,Williams Companies,stock,^GSPC,Energy,False
WTW,Willis Towers Watson,stock,^GSPC,Financials,False
WDAY,"Workday, Inc.",stock,^GSPC,Information Technology,False
WYNN,Wynn Resorts,stock,^GSPC,Consumer Discretionary,False
XEL,Xcel Energy,stock,^GSPC,Utilities,False
XYL,Xylem Inc.,stock,^GSPC,Industrials,False
YUM,Yum! Brands,stock,^GSPC,Consumer Discretionary,False
ZBRA,Zebra Technologies,stock,^GSPC,Information Technology,False
ZBH,Zimmer Biomet,stock,^GSPC,Health Care,False
ZTS,Zoetis,stock,^GSPC,Health Care,False
SXR8.DE,iShares Core S&P 500 UCITS ETF USD (Acc),etf,^GSPC,ETF,False
EUNL.DE,iShares Core MSCI World UCITS ETF USD (Acc),etf,^GSPC,ETF,False
VUSA.DE,Vanguard S&P 500 UCITS ETF (USD) Distributing,etf,^GSPC,ETF,False
VWCE.DE,Vanguard FTSE All-World UCITS ETF (USD) Accumulating,etf,^GSPC,ETF,False
IS3N.DE,iShares Core MSCI Emerging Markets IMI UCITS ETF (Acc),etf,^GSPC,ETF,False
P500.DE,Invesco S&P 500 UCITS ETF ,etf,^GSPC,ETF,False
PPFB.DE,iShares Physical Gold ETC,etf,^GSPC,ETF,False
VUAA.DE,Vanguard S&P 500 UCITS ETF (USD) Accumulating,etf,^GSPC,ETF,False
IUSQ.DE,iShares MSCI ACWI UCITS ETF USD (Acc),etf,^GSPC,ETF,False
SXRV.DE,iShares Nasdaq 100 UCITS ETF (Acc),etf,^GSPC,ETF,False
8PSG.DE,Invesco Physical Gold ETC,etf,^GSPC,ETF,False
VGWL.DE,Vanguard FTSE All-World UCITS ETF (USD) Distributing,etf,^GSPC,ETF,False
XEON.DE,Xtrackers II EUR Overnight Rate Swap UCITS ETF 1C,etf,^STOXX50E,ETF,False
LYP6.DE,Amundi Core Stoxx Europe 600 UCITS ETF Acc,etf,^STOXX50E,ETF,False
