evento,asse,tit,ben,lo,hi
AMZN|2026-06-30,-15.0,102.11543343215052,99.53362649077133,,
AMZN|2026-06-30,-14.0,101.68651747399495,99.2771886548636,,
AMZN|2026-06-30,-13.0,99.10885342088469,97.6689527714298,,
AMZN|2026-06-30,-12.0,100.57049850948177,99.3800039782121,,
AMZN|2026-06-30,-11.0,99.3378877563372,99.87943956690908,,
AMZN|2026-06-30,-10.0,102.4485737060704,101.53028602636265,,
AMZN|2026-06-30,-9.0,102.44024345183875,100.95316964475852,,
AMZN|2026-06-30,-8.0,98.90064154395004,99.72676206019412,,
AMZN|2026-06-30,-7.0,101.76980095394435,100.80841968707053,,
AMZN|2026-06-30,-6.0,96.93928286741202,100.43491925220376,,
AMZN|2026-06-30,-5.0,97.48896527249812,98.99239408108714,,
AMZN|2026-06-30,-4.0,97.55559459810654,98.8950912918302,,
AMZN|2026-06-30,-3.0,94.53235407837744,98.88528029365531,,
AMZN|2026-06-30,-2.0,96.89764430449844,98.83864031771624,,
AMZN|2026-06-30,-1.0,100.0,100.0,100.0,100.0
AMZN|2026-06-30,0.0,99.2504359722109,100.79201989814806,97.97746025973473,103.94806230393176
AMZN|2026-06-30,1.0,100.6496200393765,100.57523293245616,96.43478849084984,104.85177625272732
AMZN|2026-06-30,2.0,101.05355158895944,100.57537074580844,95.44782823023972,105.75205134163868
AMZN|2026-06-30,3.0,101.67402526970864,101.30368806249584,95.48046088049128,107.48304803061194
AMZN|2026-06-30,4.0,102.43191319760716,100.85236902136968,94.19483334176448,107.53239478281864
AMZN|2026-06-30,5.0,101.44915288431082,100.56824382673292,93.18308971524532,107.73505659865585
AMZN|2026-06-30,6.0,102.87332136004903,101.38715045365858,93.51781219266596,109.39150293164732
AMZN|2026-06-30,7.0,102.16540224929574,101.8138730926714,93.42662532206624,110.47969603894693
AMZN|2026-06-30,8.0,102.98575755274794,101.00679216388028,91.93375581978492,109.83133044870388
AMZN|2026-06-30,9.0,103.06071713258798,101.3864745119783,91.84678136481512,110.79439920802784
EA|2026-06-28,-63.0,98.3284619200099,86.60365460987968,,
EA|2026-06-28,-62.0,98.60104596861676,86.26193834114831,,
EA|2026-06-28,-61.0,99.23381178155452,88.77484698426728,,
EA|2026-06-28,-60.0,99.09265776063872,89.41123095607054,,
EA|2026-06-28,-59.0,99.1023966223546,89.51144984543889,,
EA|2026-06-28,-58.0,99.37497323671587,89.90769756629575,,
EA|2026-06-28,-57.0,99.27275235992693,89.97595981630211,,
EA|2026-06-28,-56.0,99.29223008335872,92.23268417246014,,
EA|2026-06-28,-55.0,98.420943935083,92.80176200397408,,
EA|2026-06-28,-54.0,98.68378912197396,92.69610524059009,,
EA|2026-06-28,-53.0,98.59616910351326,93.6391282058807,,
EA|2026-06-28,-52.0,98.73733799292022,94.7424655400463,,
EA|2026-06-28,-51.0,98.92716401967876,95.498110919749,,
EA|2026-06-28,-50.0,98.99043688384972,95.74735677161055,,
EA|2026-06-28,-49.0,99.21434892661388,96.90019934223636,,
EA|2026-06-28,-48.0,98.98557488723736,96.67012216227134,,
EA|2026-06-28,-47.0,99.07805690231044,96.05643915659702,,
EA|2026-06-28,-46.0,98.70325941116018,97.06119759514505,,
EA|2026-06-28,-45.0,98.57183681771468,96.66005645163914,,
EA|2026-06-28,-44.0,98.6497179744595,97.43079375763934,,
EA|2026-06-28,-43.0,98.54262766681258,97.55086520293794,,
EA|2026-06-28,-42.0,98.581568245185,97.07343447159302,,
EA|2026-06-28,-41.0,98.6497179744595,97.03468546944954,,
EA|2026-06-28,-40.0,98.50368708844016,98.02814986196498,,
EA|2026-06-28,-39.0,98.3674024983823,98.3152085252054,,
EA|2026-06-28,-38.0,98.2359799049368,97.91583352881572,,
EA|2026-06-28,-37.0,98.11429617320722,98.71091179469562,,
EA|2026-06-28,-36.0,97.73462181695342,100.1509391819273,,
EA|2026-06-28,-35.0,97.76383096785553,99.77005561305124,,
EA|2026-06-28,-34.0,97.56426607938108,100.61068852315772,,
EA|2026-06-28,-33.0,97.4571757717342,100.79983225586189,,
EA|2026-06-28,-32.0,97.44257491340588,100.63828955158654,,
EA|2026-06-28,-31.0,97.43770548254795,101.2269477133474,,
EA|2026-06-28,-30.0,97.72975982034104,102.00190119761376,,
EA|2026-06-28,-29.0,97.66161009106656,100.74081903943772,,
EA|2026-06-28,-28.0,97.86118241378654,100.6667072570653,,
EA|2026-06-28,-27.0,98.1775690373782,99.99442269331723,,
EA|2026-06-28,-26.0,98.12402760067756,101.073565139921,,
EA|2026-06-28,-25.0,98.2603121907354,101.24693970194474,,
EA|2026-06-28,-24.0,97.82224183541412,101.62428433693758,,
EA|2026-06-28,-23.0,97.90012299215896,102.2450319310767,,
EA|2026-06-28,-22.0,97.77344344739647,102.2618900044904,,
EA|2026-06-28,-21.0,98.00243307989496,102.85027594056795,,
EA|2026-06-28,-20.0,98.28014675795524,103.07369355076774,,
EA|2026-06-28,-19.0,98.41656516443362,103.34429251964325,,
EA|2026-06-28,-18.0,98.42143459529154,103.47782253713936,,
EA|2026-06-28,-17.0,98.72351029613276,102.7149797759556,,
EA|2026-06-28,-16.0,99.09865719682554,103.13148507144231,,
EA|2026-06-28,-15.0,98.90377588306944,100.40413562602248,,
EA|2026-06-28,-14.0,99.00121653994746,100.70315230037674,,
EA|2026-06-28,-13.0,98.65042422779004,100.44370130521592,,
EA|2026-06-28,-12.0,99.00121653994746,98.81656855807964,,
EA|2026-06-28,-11.0,98.92813790585032,100.5477247145,,
EA|2026-06-28,-10.0,99.03532485868988,101.05302869995704,,
EA|2026-06-28,-9.0,98.96223879034712,102.7232726998208,,
EA|2026-06-28,-8.0,98.91352217903092,102.13937516769266,,
EA|2026-06-28,-7.0,98.91352217903092,100.89855722379733,,
EA|2026-06-28,-6.0,98.48964379853076,101.99292438971484,,
EA|2026-06-28,-5.0,98.88916015625,101.61503530335536,,
EA|2026-06-28,-4.0,99.15712753834882,100.155560378893,,
EA|2026-06-28,-3.0,99.64433825698464,100.05711427629168,,
EA|2026-06-28,-2.0,99.7466483447206,100.04718799832656,,
EA|2026-06-28,-1.0,100.0,100.0,100.0,100.0
EA|2026-06-28,0.0,99.90255934312196,101.1750057250389,99.40658957592562,100.87295421108064
EA|2026-06-28,1.0,99.89768247801842,101.97633190233364,99.1928024171832,101.2684364958818
EA|2026-06-28,2.0,100.09744065687804,101.75699767738377,98.92169189299112,101.46284135318288
EA|2026-06-28,3.0,99.98051484232262,101.7571371100508,98.71456961141868,101.64852229177446
EA|2026-06-28,4.0,99.98051484232262,102.49401219690574,98.62224847236652,101.90519803362837
EA|2026-06-28,5.0,100.09257122602008,102.03739013120814,98.39884097955874,101.99269459097567
EA|2026-06-28,6.0,99.8246038439213,101.74992644926812,98.20888212449933,102.088871015761
EA|2026-06-28,7.0,100.63824485193362,102.57845527594289,98.16670563209917,102.3184694741337
EA|2026-06-28,8.0,100.56516621783646,103.01019193039416,98.08312350216318,102.488635855114
EA|2026-06-28,9.0,100.53593476419762,102.19362775448404,97.854012647172,102.49261803061648
EA|2026-06-28,10.0,100.6820920323919,102.57777139190918,97.7773903229013,102.64422145573069
EA|2026-06-30,-63.0,98.69721718536252,85.26012696809772,,
EA|2026-06-30,-62.0,99.3306001708419,87.74385170338289,,
EA|2026-06-30,-61.0,99.18930847436891,88.3728449683131,,
EA|2026-06-30,-60.0,99.1990568349514,88.47189995590628,,
EA|2026-06-30,-59.0,99.47189930881144,88.86354581549115,,
EA|2026-06-30,-58.0,99.36957873017856,88.93101529524772,,
EA|2026-06-30,-57.0,99.38907545134352,91.16153096459308,,
EA|2026-06-30,-56.0,98.5169394880563,91.723999755611,,
EA|2026-06-30,-55.0,98.7800410428305,91.61957004727851,,
EA|2026-06-30,-54.0,98.6923355635747,92.55164112405558,,
EA|2026-06-30,-53.0,98.83364214304088,93.64216474326258,,
EA|2026-06-30,-52.0,99.0236533179364,94.3890343621844,,
EA|2026-06-30,-51.0,99.086987895736,94.63538557321264,,
EA|2026-06-30,-50.0,99.31111833267016,95.774839495023,,
EA|2026-06-30,-49.0,99.08212115694138,95.54743433866425,,
EA|2026-06-30,-48.0,99.17469337499185,94.94087839999486,,
EA|2026-06-30,-47.0,98.79953032249884,95.9339679791332,,
EA|2026-06-30,-46.0,98.66797954511172,95.53748552713704,,
EA|2026-06-30,-45.0,98.74593666378507,96.29927180080904,,
EA|2026-06-30,-44.0,98.63874190486092,96.417948784752,,
EA|2026-06-30,-43.0,98.67772046419758,95.94606274143176,,
EA|2026-06-30,-42.0,98.74593666378507,95.90776375457646,,
EA|2026-06-30,-41.0,98.59976334552424,96.8896904521794,,
EA|2026-06-30,-40.0,98.46334582934252,97.17341533184045,,
EA|2026-06-30,-39.0,98.33179505195542,96.77867851563995,,
EA|2026-06-30,-38.0,98.20999263515078,97.56452306309733,,
EA|2026-06-30,-37.0,97.82994796086992,98.98782655283983,,
EA|2026-06-30,-36.0,97.85918560112074,98.61136641216916,,
EA|2026-06-30,-35.0,97.6594260656428,99.44223655058168,,
EA|2026-06-30,-34.0,97.55223130671864,99.6291836442326,,
EA|2026-06-30,-33.0,97.53761620734151,99.4695170317944,,
EA|2026-06-30,-32.0,97.53274202705028,100.05133875499811,,
EA|2026-06-30,-31.0,97.82508122207533,100.81729224194171,,
EA|2026-06-30,-30.0,97.75686502248784,99.57085578351123,,
EA|2026-06-30,-29.0,97.95663199946245,99.4976047054991,,
EA|2026-06-30,-28.0,98.2733272129504,98.83312778362463,,
EA|2026-06-30,-27.0,98.21973355423664,99.89973750493914,,
EA|2026-06-30,-26.0,98.35615107041838,100.07109856470018,,
EA|2026-06-30,-25.0,97.91765344012576,100.44406087123896,,
EA|2026-06-30,-24.0,97.9956105587991,101.057599353091,,
EA|2026-06-30,-23.0,97.86880745626055,101.07426164363685,,
EA|2026-06-30,-22.0,98.09802043539156,101.6558143026766,,
EA|2026-06-30,-21.0,98.37600498342148,101.87663723082838,,
EA|2026-06-30,-20.0,98.51255644654248,102.14409357237868,,
EA|2026-06-30,-19.0,98.51743062683371,102.27607282608788,,
EA|2026-06-30,-18.0,98.8198009593131,101.52208941317171,,
EA|2026-06-30,-17.0,99.1953137621476,101.93375758408206,,
EA|2026-06-30,-16.0,99.00024236954516,99.23808247551632,,
EA|2026-06-30,-15.0,99.09777806584636,99.53362649077133,,
EA|2026-06-30,-14.0,98.7466436059647,99.2771886548636,,
EA|2026-06-30,-13.0,99.09777806584636,97.6689527714298,,
