Date,ESGU,SPY
2021-07-19,91.50296020507812,397.1900329589844
2021-07-20,92.89944458007812,402.8819885253906
2021-07-21,93.62112426757812,406.143798828125
2021-07-22,93.83670043945312,406.99432373046875
2021-07-23,94.89579010009766,411.1814270019531
2021-07-26,95.0832290649414,412.1908264160156
2021-07-27,94.5677490234375,410.31219482421875
2021-07-28,94.5302505493164,410.14398193359375
2021-07-29,94.91450500488281,411.8450012207031
2021-07-30,94.34282684326172,409.8449401855469
2021-08-02,94.22096252441406,408.9850769042969
2021-08-03,94.9332504272461,412.3123474121094
2021-08-04,94.5677490234375,410.2841796875
2021-08-05,95.1582260131836,412.8825378417969
2021-08-06,95.23318481445312,413.5648193359375
2021-08-09,95.1957015991211,413.2282409667969
2021-08-10,95.1957015991211,413.7423400878906
2021-08-11,95.42062377929688,414.7704772949219
2021-08-12,95.68305206298828,416.01348876953125
2021-08-13,95.86111450195312,416.7705993652344
2021-08-16,96.06733703613281,417.7518310546875
2021-08-17,95.41128540039062,415.013427734375
2021-08-18,94.3521728515625,410.4710998535156
2021-08-19,94.50214385986328,411.10662841796875
2021-08-20,95.30816650390625,414.3778381347656
2021-08-23,96.18917083740234,418.0229797363281
2021-08-24,96.37663269042969,418.68658447265625
2021-08-25,96.62967681884766,419.5651550292969
2021-08-26,96.048583984375,417.08837890625
2021-08-27,96.89209747314453,420.8175354003906
2021-08-30,97.34196472167969,422.6681213378906
2021-08-31,97.21076965332031,422.0418701171875
2021-09-01,97.2669906616211,422.26617431640625
2021-09-02,97.58566284179688,423.5652770996094
2021-09-03,97.58566284179688,423.46246337890625
2021-09-07,97.2013931274414,421.94842529296875
2021-09-08,97.0233154296875,421.4344177246094
2021-09-09,96.6765365600586,419.6304626464844
2021-09-10,95.89862060546875,416.32196044921875
2021-09-13,96.048583984375,417.387451171875
2021-09-14,95.59870147705078,415.1349792480469
2021-09-15,96.41410064697266,418.60247802734375
2021-09-16,96.2641372680664,417.93878173828125
2021-09-17,95.37377166748047,413.86767578125
2021-09-20,93.71483612060547,406.9668273925781
2021-09-21,93.65861511230469,406.5823669433594
2021-09-22,94.61458587646484,410.54840087890625
2021-09-23,95.7392807006836,415.5365905761719
2021-09-24,95.85118865966797,416.2210693359375
2021-09-27,95.56912994384766,415.0303955078125
2021-09-28,93.51952362060547,406.6667175292969
2021-09-29,93.55714416503906,407.35125732421875
2021-09-30,92.56995391845703,402.3724670410156
2021-10-01,93.59476470947266,407.1543273925781
